73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
73,73
72,72
71,71
71,71
71,71
71,71
70,70
70,70
70,70
70,70
70,70
70,70
69,69
69,69
69,69
69,69
69,69
69,69
68,68
68,68
68,68
65,65
65,65
65,65
64,64
64,64
64,64
64,64
62,62
61,61
59,59
57,57
57,57
57,57
56,56
54,54
54,54
52,52
51,51
51,51
51,51
50,50
48,48
46,46
46,46
46,46
46,46
45,45
44,44
42,42
40,40
38,38
37,37
35,35
33,33
33,33
32,32
32,32
30,30
29,29
28,28
28,28
28,28
28,28
26,26
23,23
22,22
21,21
21,21
20,20
19,19
18,18
18,18
17,17
17,17
15,15
14,14
14,14
13,13
13,13
13,13
13,13
13,13
12,12
12,12
11,11
11,11
10,10
10,10
10,10
9,9
7,7
6,6
5,5
5,5
4,4
4,4
4,4
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
